epoch,accuracy,loss,val_accuracy,val_loss
0,0.37796837,1.4385019874621312,0.39747816,1.4338173174858093
1,0.38665166,1.4163487467406481,0.4016855,1.4205821681022643
2,0.4281624,1.3794553969396837,0.42880902,1.4117804050445557
3,0.47291338,1.3335700865432834,0.49666643,1.3364404368400573
4,0.48213717,1.3141178097841453,0.49837142,1.3180421304702759
5,0.49714288,1.297712107782694,0.51598406,1.2950119757652283
6,0.50865936,1.274100380128367,0.50550586,1.3166835069656373
7,0.5145166,1.2665987167727437,0.54079485,1.2759637284278869
8,0.54708254,1.2137216725320292,0.5859075,1.170999892950058
9,0.5780594,1.1498965764239946,0.6082525,1.1371324694156646
10,0.6098453,1.0800396890480017,0.63906413,1.0557212328910828
11,0.6314084,1.0223425732974851,0.65782636,1.005467631816864
12,0.6474823,0.9801581479351049,0.6667831,0.9764076972007751
13,0.655098,0.9478835960937372,0.6729534,0.9341806542873382
14,0.6617251,0.9215293280218866,0.6757339,0.9197891592979431
15,0.664811,0.9004670395809861,0.6753518,0.9343147122859955
16,0.67044556,0.8685960869196719,0.6814544,0.8655848664045334
17,0.67584586,0.8452403312909385,0.69653547,0.8548237025737763
18,0.68442833,0.8130528441575297,0.71245944,0.7854679936170578
19,0.69894177,0.7723679341633791,0.6959708,0.7986399376392365
20,0.70943224,0.7414889738472016,0.7125607,0.7809854036569596
21,0.7196587,0.7107229118980847,0.724483,0.7700157052278519
22,0.7281025,0.6905468694729134,0.6975154,0.816177275776863
23,0.73547226,0.6655885208314645,0.7401692,0.7000817197561264
24,0.7429682,0.6400634717962528,0.7532063,0.6755094712972641
25,0.74864936,0.6292180394234094,0.7261899,0.693033641576767
26,0.7572832,0.6033762525425667,0.75022686,0.6678652560710907
27,0.764158,0.5898461012879117,0.75034785,0.6487744677066803
28,0.76948375,0.5674323433224878,0.7598563,0.644028947353363
29,0.7776102,0.5474814968657834,0.76006305,0.638255136013031
30,0.7822531,0.5391766793358229,0.74894977,0.6314366948604584
31,0.78360146,0.5306445569740779,0.75619763,0.6475572741031647
32,0.7898281,0.5145221569873165,0.7496436,0.6299716126918793
33,0.7967735,0.4973051013944712,0.7609414,0.6977208912372589
